date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:10	165548/165548	---M--	200	added ('OK')	text/html	etag:%2210e1b62-286ac-56a45a7058dc0%22	https://gict.world/asset/css/fonts/fontawesome-webfont.ttf@v=4.7.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/fontawesome-webfont.ttf@v=4.7.html	(from https://gict.world/asset/css/src/font-awesome.min.css)
23:45:11	38384/38384	---M--	200	added ('OK')	text/html	etag:%2210e1b66-95f0-56a45a7611b40%22	https://gict.world/asset/css/fonts/Material-Design-Iconic-Font.woff2@v=2.2.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/Material-Design-Iconic-Font.woff2@v=2.2.html	(from https://gict.world/asset/css/src/material-design-iconic-font.min.css)
23:45:11	444379/444379	---M--	200	added ('OK')	text/html	etag:%2210e1b61-6c7db-56a45a6f64b80%22	https://gict.world/asset/css/fonts/fontawesome-webfont.svg@v=4.7.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/fontawesome-webfont.svg@v=4.7.html	(from https://gict.world/asset/css/src/font-awesome.min.css)
23:45:11	50312/50312	---M--	200	added ('OK')	text/html	etag:%2210e1b65-c488-56a45a7611b40%22	https://gict.world/asset/css/fonts/Material-Design-Iconic-Font.woff@v=2.2.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/Material-Design-Iconic-Font.woff@v=2.2.html	(from https://gict.world/asset/css/src/material-design-iconic-font.min.css)
23:45:12	99212/99212	---M--	200	added ('OK')	text/html	etag:%2210e1b5f-1838c-56a45a74296c0%22	https://gict.world/asset/css/fonts/Material-Design-Iconic-Font.ttf@v=2.2.0	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/fonts/Material-Design-Iconic-Font.ttf@v=2.2.html	(from https://gict.world/asset/css/src/material-design-iconic-font.min.css)
23:45:33	16974/16974	---M--	200	added ('OK')	text/css	etag:%2210e1b75-424e-5751e121e5640%22	https://gict.world/asset/css/layout/default.css	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/layout/default.css	(from https://gict.world/asset/css/layout/shortcodes.css)
23:45:33	7275/7275	---M--	200	added ('OK')	text/css	etag:%2210e1b79-1c6b-574b660f397c0%22	https://gict.world/asset/css/layout/header.css	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/layout/header.css	(from https://gict.world/asset/css/layout/shortcodes.css)
23:45:33	2767/2767	---M--	200	added ('OK')	text/css	etag:%2210e1b78-acf-5748e9d500b40%22	https://gict.world/asset/css/layout/slider.css	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/layout/slider.css	(from https://gict.world/asset/css/layout/shortcodes.css)
23:45:33	3116/3116	---M--	200	added ('OK')	text/css	etag:%2210e1b76-c2c-572e7399aa040%22	https://gict.world/asset/css/layout/footer.css	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/layout/footer.css	(from https://gict.world/asset/css/layout/shortcodes.css)
23:45:33	32654/32654	---M--	200	added ('OK')	text/css	etag:%2210e1b74-7f8e-575a8c98d7600%22	https://gict.world/asset/css/layout/style.css	D:/Websites/gict.world.bg/gict.world.bg/gict.world/asset/css/layout/style.css	(from https://gict.world/asset/css/layout/shortcodes.css)
23:45:34	23209/23209	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:33%20GMT	https://gict.world/en/page/1-about-us	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/page/1-about-us.html	(from https://gict.world/)
23:45:34	7367/7367	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:33%20GMT	https://gict.world/en/page/2-our-project	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/page/2-our-project.html	(from https://gict.world/)
23:45:34	7485/7485	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:33%20GMT	https://gict.world/en/page/3-information-copy-ic	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/page/3-information-copy-ic.html	(from https://gict.world/)
23:45:34	104405/104405	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:33%20GMT	https://gict.world/en/page/5-investment-proposal	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/page/5-investment-proposal.html	(from https://gict.world/)
23:45:35	9452/9452	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:34%20GMT	https://gict.world/en/science/1-history-of-information-copies	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/science/1-history-of-information-copies.html	(from https://gict.world/)
23:45:35	9863/9863	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:34%20GMT	https://gict.world/en/science/	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/science/index.html	(from https://gict.world/)
23:45:35	10364/10364	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:34%20GMT	https://gict.world/en/science/2-research	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/science/2-research.html	(from https://gict.world/)
23:45:35	8594/8594	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:34%20GMT	https://gict.world/en/page/4-contacts	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/page/4-contacts.html	(from https://gict.world/)
23:45:35	11671/11671	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:35%20GMT	https://gict.world/en/science/post/2-how-does-the-technological-model-of-ic-medical-work	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/science/post/2-how-does-the-technological-model-of-ic-medical-work.html	(from https://gict.world/)
23:45:36	11738/11738	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:35%20GMT	https://gict.world/en/science/post/1-how-a-glass-of-live-giving-liquid-is-becoming-an-information-copy-of-medical-substance	D:/Websites/gict.world.bg/gict.world.bg/gict.world/en/science/post/1-how-a-glass-of-live-giving-liquid-is-becoming-an-information-copy-of-medical-substance.html	(from https://gict.world/)
23:45:36	31114/31114	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:35%20GMT	https://gict.world/ru/page/1-o-nas	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/page/1-o-nas.html	(from https://gict.world/ru)
23:45:36	7643/7643	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:35%20GMT	https://gict.world/ru/page/2-nash-proyekt	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/page/2-nash-proyekt.html	(from https://gict.world/ru)
23:45:37	7872/7872	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:36%20GMT	https://gict.world/ru/page/3-informacionnaya-kopiya-ic	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/page/3-informacionnaya-kopiya-ic.html	(from https://gict.world/ru)
23:45:37	108667/108667	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:36%20GMT	https://gict.world/ru/page/5-investicionnoe-predlozhenie	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/page/5-investicionnoe-predlozhenie.html	(from https://gict.world/ru)
23:45:37	9918/9918	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:36%20GMT	https://gict.world/ru/science/1-Istoriya-informatsii-kopiy	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/science/1-Istoriya-informatsii-kopiy.html	(from https://gict.world/ru)
23:45:37	11022/11022	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:36%20GMT	https://gict.world/ru/science/2-issledovaniye	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/science/2-issledovaniye.html	(from https://gict.world/ru)
23:45:37	8889/8889	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:36%20GMT	https://gict.world/ru/page/4-kontakty	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/page/4-kontakty.html	(from https://gict.world/ru)
23:45:38	12481/12481	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:37%20GMT	https://gict.world/ru/science/post/2-chto-takoe-informacionnye-kopii-i-tekhnologiya-ic-medicals	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/science/post/2-chto-takoe-informacionnye-kopii-i-tekhnologiya-ic-medicals.html	(from https://gict.world/ru)
23:45:38	10496/10496	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:37%20GMT	https://gict.world/ru/science/	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/science/index.html	(from https://gict.world/ru)
23:45:39	12690/12690	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2021:45:37%20GMT	https://gict.world/ru/science/post/1-kak-chashka-zhivitelnoi-zhidkosti-stanovitsya-informacionnoi-kopiei-medicinskikh-resursov	D:/Websites/gict.world.bg/gict.world.bg/gict.world/ru/science/post/1-kak-chashka-zhivitelnoi-zhidkosti-stanovitsya-informacionnoi-kopiei-medicinskikh-resursov.html	(from https://gict.world/ru)
23:45:39	48342/48342	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2016%20Jan%202021%2021:45:38%20GMT	https://gict.world/bg/page/image/1-za-nas.jpg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/page/image/1-za-nas.jpg	(from https://gict.world/bg/page/1-za-nas)
23:45:39	12306/12306	---M--	200	added ('OK')	image/png	etag:%2210e1b31-3012-5751a4ba11280%22	https://gict.world/uploads/images/logo_bodyfreq.png	D:/Websites/gict.world.bg/gict.world.bg/gict.world/uploads/images/logo_bodyfreq.png	(from https://gict.world/bg/page/1-za-nas)
23:45:39	5916/5916	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jan%202021%2021:45:38%20GMT	https://gict.world/bg/page/bg.bodyfreq.com	D:/Websites/gict.world.bg/gict.world.bg/gict.world/bg/page/bg.bodyfreq.com	(from https://gict.world/bg/page/1-za-nas)
23:45:40	152697/152697	---M--	200	added ('OK')	image/jpeg	etag:%2210d157b-25479-5751ae4488ecc%22	https://gict.world/images/team/388abcbcb6657de3c6119f8bacc26511.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/team/388abcbcb6657de3c6119f8bacc26511.jpg	(from https://gict.world/bg/page/1-za-nas)
23:45:40	137465/137465	---M--	200	added ('OK')	image/jpeg	etag:%2210d157f-218f9-5751af94adb67%22	https://gict.world/images/team/e82dd91ca7bcbea260052aa239510601.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/team/e82dd91ca7bcbea260052aa239510601.jpg	(from https://gict.world/bg/page/1-za-nas)
23:45:40	179167/179167	---M--	200	added ('OK')	image/jpeg	etag:%2210d1581-2bbdf-5757f28930699%22	https://gict.world/images/team/eee95a4e43890358edc46094cf14b9dd.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/team/eee95a4e43890358edc46094cf14b9dd.jpg	(from https://gict.world/bg/page/1-za-nas)
23:45:40	137642/137642	---M--	200	added ('OK')	image/jpeg	etag:%2210d157e-219aa-5751b2b70700a%22	https://gict.world/images/team/75aa752612e085b1bc9237871f32b4b7.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/team/75aa752612e085b1bc9237871f32b4b7.jpg	(from https://gict.world/bg/page/1-za-nas)
23:45:41	121989/121989	---M--	200	added ('OK')	image/jpeg	etag:%2210d157c-1dc85-574033b27d182%22	https://gict.world/images/team/51ee89f09563e0cdbe2ac72ed282ae90.jpeg	D:/Websites/gict.world.bg/gict.world.bg/gict.world/images/team/51ee89f09563e0cdbe2ac72ed282ae90.jpg	(from https://gict.world/bg/page/1-za-nas)
